time	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	knee_angle_r_beta	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	knee_angle_l_beta	ankle_angle_l	subtalar_angle_l	mtp_angle_l	L5_S1_Flex_Ext	L5_S1_Lat_Bending	L5_S1_axial_rotation	L4_L5_Flex_Ext	L4_L5_Lat_Bending	L4_L5_axial_rotation	L3_L4_Flex_Ext	L3_L4_Lat_Bending	L3_L4_axial_rotation	L2_L3_Flex_Ext	L2_L3_Lat_Bending	L2_L3_axial_rotation	L1_L2_Flex_Ext	L1_L2_Lat_Bending	L1_L2_axial_rotation	L1_T12_Flex_Ext	L1_T12_Lat_Bending	L1_T12_axial_rotation	Abs_r3	Abs_r2	Abs_r1	Abs_t1	Abs_t2	neck_flexion	neck_bending	neck_rotation	arm_flex_r	arm_add_r	arm_rot_r	elbow_flex_r	pro_sup_r	wrist_flex_r	wrist_dev_r	arm_flex_l	arm_add_l	arm_rot_l	elbow_flex_l	pro_sup_l	wrist_flex_l	wrist_dev_l
0	-103.89695454	2.86683987	165.61342224	4.89921073	-0.06095721	-1.05251414	-15.09268163	29.94303815	20.92553695	66.72790632	1.16462167	167.17137567	0.4700464	0	-17.0143094	-17.03193714	-8.73463104	46.62104287	0.8136907	21.72021709	-19.27534995	0	-11.63808369	-1.08590728	-4.5740431	-21.61308522	-1.44425669	-4.85992079	-19.12020769	-2.64027497	-4.85992079	-13.30116585	-2.64027497	-4.00228771	-10.80712451	-2.21438213	-3.71641002	-6.65000102	-1.68207038	-3.43053232	-83.12966799	-12.28400036	-25.43945548	0	0	-28.16337296	59.23827326	-44.89353331	37.98694477	24.07191656	-125.95502613	84.66479387	83.26599512	0	4.8328265	25.19342827	-34.76334696	92.28109273	149.93637271	63.60331352	0	4.8328265
0.0344828	-102.4586183	2.48092268	164.74374552	4.90366734	-0.06556913	-1.0691591	-13.63259094	29.95062759	21.20344003	65.57884271	1.14456672	165.46467452	1.3144636	0	-13.96826313	-18.57690746	-13.49871354	51.2063349	0.89371914	21.16527928	-19.04971256	0	-11.44412814	-1.21504759	-4.45081509	-21.25289037	-1.6160133	-4.72899104	-18.80155812	-2.95426672	-4.72899104	-13.07949405	-2.95426672	-3.89446321	-10.62701739	-2.47772505	-3.61628726	-6.53917482	-1.88210872	-3.33811132	-81.74426291	-13.74486137	-24.7540983	0	0	-28.24835257	60.58724607	-44.89465197	35.5832204	19.77975013	-120.63392951	93.86809656	82.48034936	0	4.85330148	25.62409069	-35.57735372	96.96094695	149.95617639	59.74920219	0	4.85330148
0.0689655	-100.28676115	1.48702652	163.2087719	4.9012905	-0.06558186	-1.08295954	-11.46414544	29.95571001	22.98069123	65.68797516	1.14647145	165.12179605	2.529197	0	-11.25982518	-19.75302844	-19.44579656	54.27713526	0.94731472	21.63733194	-18.53354175	0	-11.01951441	-1.42806065	-4.33134324	-20.46434021	-1.89932067	-4.6020522	-18.10396022	-3.47218668	-4.6020522	-12.59420302	-3.47218668	-3.78992534	-10.23272108	-2.91210129	-3.51921639	-6.29655053	-2.21206595	-3.24850743	-78.71128947	-16.15450774	-24.08963172	0	0	-28.27109881	60.9956876	-44.89512087	33.71970134	14.05920274	-117.85681835	99.28513429	81.41156531	0	4.86929527	25.39145364	-36.17506706	103.09637749	149.96668324	57.61014	0	4.86929527
0.1034483	-97.99065745	0.35327789	161.56244387	4.89654236	-0.05940118	-1.09000521	-9.33283724	29.95713356	25.38794363	66.32445962	1.15758019	165.33037033	3.42666241	0	-9.39734923	-20.31257071	-24.79866817	55.83939445	0.97458129	23.23722188	-17.45381393	0	-10.52913444	-1.64441369	-4.22405518	-19.55365556	-2.18707021	-4.48805862	-17.29831497	-3.99822745	-4.48805862	-12.03374775	-3.99822745	-3.69604828	-9.77735424	-3.3532884	-3.43204483	-6.01634742	-2.54719681	-3.16804138	-75.20855437	-18.60193657	-23.49292767	0	0	-28.28297169	61.16940066	-44.89550179	32.14398005	7.73924811	-115.14404272	103.12913188	81.06195151	0	4.87699128	25.06377049	-36.18707915	112.54013163	149.97225638	56.80952159	0	4.87699128
0.137931	-96.5777969	-0.01144674	160.59156974	4.89766491	-0.05004174	-1.09080674	-8.46561453	29.95504155	26.88093701	65.9755319	1.15149026	164.63152314	3.62562353	0	-8.85705595	-20.58529356	-27.83313593	56.58634023	0.98761795	25.78391369	-15.53235235	0	-10.27013613	-1.77286361	-4.18520746	-19.0726698	-2.3579086	-4.44678292	-16.87280664	-4.31054058	-4.44678292	-11.73773858	-4.31054058	-3.66205653	-9.53684841	-3.61522347	-3.40048106	-5.86835578	-2.74616573	-3.13890559	-73.35855534	-20.05498772	-23.27686832	0	0	-28.3110068	61.99357155	-44.89569023	31.33122148	1.09788985	-111.59939115	105.82789854	80.06854685	0	4.88595497	25.20268358	-35.10597023	125.82343111	149.97496675	56.08149086	0	4.88595497
0.1724138	-96.27419947	0.61640004	160.4126012	4.90341889	-0.04370556	-1.08822753	-8.81971898	29.95168821	26.71365476	64.73009907	1.12975335	163.05065634	3.12967624	0	-9.40962919	-20.84858328	-28.26118994	57.21101071	0.99852051	29.49668065	-12.72142832	0	-10.31226728	-1.79724782	-4.25878586	-19.15091157	-2.39033961	-4.52495998	-16.94202392	-4.36982836	-4.52495998	-11.78589028	-4.36982836	-3.72643763	-9.5759714	-3.66494776	-3.46026351	-5.89242952	-2.78393688	-3.1940894	-73.65949396	-20.33082683	-23.68608933	0	0	-28.34631417	63.38451266	-44.89553616	31.95801642	-5.81065363	-107.59772299	107.32219188	76.70232815	0	4.91345168	25.07146177	-32.66778895	141.05118208	149.97672333	54.76635835	0	4.91345168
0.2068966	-96.65289992	1.67574583	160.56866542	4.90787051	-0.0432936	-1.08422231	-9.67066147	29.94907136	25.56350712	63.46318433	1.10764152	161.54439236	2.19933081	0	-10.20986139	-20.84195084	-26.58336269	57.99638708	1.01222791	32.86335169	-10.75415428	0	-10.51525074	-1.75550712	-4.39969664	-19.52787214	-2.33482448	-4.67467767	-17.27550543	-4.26834002	-4.67467767	-12.01788007	-4.26834002	-3.84973456	-9.76446183	-3.57983013	-3.57475352	-6.00841427	-2.71928054	-3.29977248	-75.10938448	-19.85864769	-24.46979278	0	0	-28.3705674	64.46170667	-44.89551146	33.9510419	-12.95663202	-103.8205204	108.59432625	76.22862904	0	4.91648018	23.57917652	-30.19226818	152.80444845	149.97839112	55.32172126	0	4.91648018
0.2413793	-97.18963846	3.02400234	161.07680759	4.91160963	-0.04491101	-1.0784114	-10.43489498	29.94627722	23.15905855	62.08375224	1.08356589	159.80657181	0.15435381	0	-10.56191108	-21.23667516	-24.52143799	59.28296389	1.03468291	33.26294461	-11.68408111	0	-10.78281769	-1.60612401	-4.4945533	-20.02477074	-2.13614493	-4.77546288	-17.71509119	-3.90512991	-4.77546288	-12.32368234	-3.90512991	-3.93273414	-10.01292451	-3.27520808	-3.65182456	-6.16130203	-2.48788609	-3.37091497	-77.0205885	-18.16879599	-24.99735709	0	0	-28.38590279	65.16175629	-44.89643715	36.62497054	-20.76465185	-99.45949888	109.78339664	66.22068828	0	4.97721152	21.66172205	-28.5596078	159.39361435	149.97951803	53.51771947	0	4.97721152
0.2758621	-97.26207008	4.88452958	162.13507828	4.91673096	-0.04358959	-1.06975504	-10.51375544	29.94134148	18.52442371	60.62717063	1.05814374	156.89212725	-3.85716737	0	-10.11920027	-22.99898918	-23.60032143	60.97893862	1.06428325	30.84620833	-15.26130204	0	-11.04139488	-1.26533671	-4.34976423	-20.50497443	-1.68289782	-4.62162449	-18.13990764	-3.07653968	-4.62162449	-12.6192102	-3.07653968	-3.8060437	-10.25303928	-2.58027462	-3.53418344	-6.30905303	-1.96000656	-3.26232317	-78.86757947	-14.31374193	-24.19208371	0	0	-28.40369054	65.96518442	-44.89834097	38.91851613	-30.50232292	-96.0714323	110.41266244	66.43538185	0	4.97890161	21.26359932	-26.69454831	163.47965152	149.97997007	53.17245497	0	4.97890161
0.3103448	-97.06012426	7.42916997	163.79683717	4.92243762	-0.04074735	-1.05795969	-10.20554388	29.93557815	11.67779136	59.60740623	1.0403455	152.64676141	-9.46011236	0	-9.18687613	-25.82176139	-22.16876945	62.71775777	1.09463137	28.48607577	-18.40037524	0	-11.31890345	-0.74715129	-3.9740822	-21.0203356	-0.99371122	-4.22246234	-18.59582648	-1.81662365	-4.22246234	-12.93637475	-1.81662365	-3.47732193	-10.51073374	-1.52359091	-3.22894179	-6.46762143	-1.15733735	-2.98056165	-80.84979546	-8.45192482	-22.10265297	0	0	-28.42684813	67.02745138	-44.90147463	40.55728972	-42.16303248	-93.06983877	109.13693489	67.12675162	0	4.98008949	22.53071102	-23.96192047	167.55927596	149.98017438	53.0132853	0	4.98008949
