Time,Pelvis,Right Hand,Left Hand,Head,Right Foot,Left Foot
0,[ 0.07054996 -0.11246005  1.        ],[ 0.4489794  -0.10028455  0.82004845],[-0.04736444  0.2599117   1.3803937 ],[ 0.1093978  -0.01707718  1.7131374 ],[ 0.19068639 -0.15542766  0.10912949],[ 0.00847707 -0.11931166  0.106713  ]
1,[ 0.06551836 -0.1005729   1.        ],[ 0.4439478  -0.0883974   0.82004845],[-0.05239605  0.27179885  1.3803937 ],[ 0.10436619 -0.00519003  1.7131374 ],[ 0.18565477 -0.14354052  0.10912949],[ 0.00344546 -0.10742451  0.106713  ]
2,[ 0.06061327 -0.08914173  1.        ],[ 0.48118865 -0.09185106  0.8532398 ],[-0.07212415  0.29976064  1.3889408 ],[9.5116161e-02 1.5786916e-03 1.7154711e+00],[ 0.17826425 -0.13412648  0.10536659],[-0.00178515 -0.09471256  0.10331738]
3,[ 0.05583794 -0.07815536  1.        ],[ 0.5236701  -0.07775136  0.8791739 ],[-0.08976574  0.33447447  1.3971492 ],[0.08364888 0.0088257  1.7203902 ],[ 0.1728187  -0.12721333  0.0972355 ],[-0.00674374 -0.08611079  0.09673297]
4,[ 0.05119561 -0.06760265  1.        ],[ 0.5576515  -0.09589942  0.95179355],[-0.1096369   0.35429317  1.4021306 ],[0.07046998 0.02155571 1.7219942 ],[ 0.16185871 -0.11967893  0.09042269],[-0.01579896 -0.07575472  0.09437132]
5,[ 0.04668951 -0.05747242  1.        ],[ 0.60440266 -0.12917776  1.0177304 ],[-0.15515119  0.36775595  1.4198512 ],[0.06182824 0.02932339 1.7296485 ],[ 0.15197928 -0.10603816  0.08746445],[-0.02011611 -0.06020172  0.09338331]
6,[ 0.04232289 -0.04775351  1.        ],[ 0.6226835  -0.12644202  1.1118007 ],[-0.19828685  0.39925456  1.4221046 ],[0.05476202 0.03329361 1.7311807 ],[ 0.150596   -0.10147255  0.09771889],[-0.01393387 -0.05955654  0.09917694]
7,[ 0.03809895 -0.03843476  1.        ],[ 0.6332911  -0.06573958  1.2089553 ],[-0.21030161  0.41947877  1.4322906 ],[0.04966568 0.03504865 1.7330027 ],[ 0.13938794 -0.10232729  0.10051787],[-0.00930418 -0.05034263  0.10213041]
8,[ 0.03402096 -0.02950499  1.        ],[0.593413   0.20511802 1.2591699 ],[-0.22558397  0.44535288  1.4449943 ],[0.0438242  0.04030582 1.728124  ],[ 0.12399304 -0.09017233  0.11186612],[-0.01269578 -0.03220657  0.11424494]
9,[ 0.03009214 -0.02095306  1.        ],[0.56554425 0.2550373  1.3182355 ],[-0.24387223  0.45934778  1.4540392 ],[0.03907888 0.04488826 1.7304809 ],[ 0.12298683 -0.08456814  0.11241639],[-0.01563402 -0.02553249  0.11278498]
10,[ 0.02631574 -0.01276779  1.        ],[0.552181   0.25659245 1.3805157 ],[-0.25916287  0.4679581   1.4691904 ],[0.03266346 0.04979229 1.7329255 ],[ 0.10952555 -0.0723505   0.11447549],[-0.02468116 -0.01349974  0.11742806]
11,[ 0.02269497 -0.00493803  1.        ],[0.55221045 0.2393335  1.4534107 ],[-0.26545906  0.48867932  1.4768682 ],[0.02885465 0.05404423 1.735126  ],[ 0.10002578 -0.06734922  0.11280072],[-0.03132401 -0.00153126  0.12031496]
12,[0.01923308 0.0025474  1.        ],[0.5501386  0.22823782 1.5221834 ],[-0.27308458  0.48600373  1.4962779 ],[0.02419445 0.05835058 1.7416579 ],[ 0.09030478 -0.0713403   0.10313392],[-0.04192526 -0.00062762  0.11339307]
13,[0.01593331 0.00969966 1.        ],[0.5321343  0.20907916 1.569037  ],[-0.2724264   0.50466853  1.5028746 ],[0.02254241 0.05353124 1.7435658 ],[ 0.08682907 -0.06452112  0.10483897],[-0.04639445  0.00038214  0.11515892]
14,[0.01279889 0.0165299  1.        ],[0.50454   0.2019078 1.6053104],[-0.28270078  0.48279983  1.5079691 ],[0.02037632 0.0609061  1.7436447 ],[ 0.08676849 -0.05014093  0.10617089],[-0.04700716  0.0124151   0.11311841]
15,[0.00983306 0.0230493  1.        ],[0.48081338 0.21269758 1.6148652 ],[-0.28218442  0.48179787  1.5145885 ],[0.01910844 0.06686551 1.7418209 ],[ 0.0816258  -0.04755573  0.10950482],[-0.05096594  0.01617498  0.11787093]
16,[0.00703905 0.02926902 1.        ],[0.4643133  0.24427055 1.6187309 ],[-0.2827046  0.4665514  1.5148692],[0.01601756 0.07188998 1.7415969 ],[ 0.07818389 -0.03814305  0.11320841],[-0.05255322  0.02448736  0.1200248 ]
17,[0.00442009 0.03520022 1.        ],[0.4357469  0.24534349 1.6210831 ],[-0.29067886  0.47832346  1.503732  ],[0.01151788 0.07817309 1.7395726 ],[ 0.07859246 -0.03437479  0.11491162],[-0.05292046  0.02417378  0.11962879]
18,[0.00197943 0.04085407 1.        ],[0.42938736 0.23582736 1.6227441 ],[-0.28973073  0.4891872   1.5029564 ],[0.00812828 0.08653465 1.7409179 ],[ 0.07815919 -0.03106078  0.11574554],[-0.05650672  0.0262672   0.11940891]
19,[-2.7970516e-04  4.6241727e-02  1.0000000e+00],[0.41971776 0.24215063 1.6123493 ],[-0.29666254  0.48923394  1.4976063 ],[0.00314971 0.09122881 1.7405343 ],[ 0.08112846 -0.02796898  0.115291  ],[-0.05704926  0.03006401  0.11769986]
20,[-0.00235408  0.05137435  1.        ],[0.41185275 0.23967521 1.6077658 ],[-0.30703375  0.4989573   1.4899826 ],[-0.00270498  0.09576897  1.7406913 ],[ 0.07614019 -0.02117773  0.11403561],[-0.05879228  0.04015187  0.11730766]
21,[-0.00424045  0.05626312  1.        ],[0.4053945  0.25911924 1.6070877 ],[-0.31094873  0.5029021   1.4847692 ],[-0.00988703  0.09865853  1.7417303 ],[ 0.07774822 -0.02203664  0.11228991],[-0.0587424   0.04189554  0.11624897]
22,[-0.00593558  0.06091919  1.        ],[0.39967602 0.25820646 1.6064938 ],[-0.30848357  0.5038948   1.4848976 ],[-0.01727093  0.10716768  1.7410047 ],[ 0.07703518 -0.01494525  0.11535078],[-0.05658036  0.04828503  0.11869997]
23,[-0.00743625  0.06535372  1.        ],[0.397257  0.2611991 1.6104112],[-0.31082883  0.50714093  1.4773432 ],[-0.02235754  0.11318293  1.7426695 ],[ 0.07275545 -0.00244233  0.11497819],[-0.05823967  0.05798295  0.11977595]
24,[-0.00873921  0.06957788  1.        ],[0.3963397  0.26683444 1.6059861 ],[-0.30494848  0.5087586   1.4791715 ],[-0.02565726  0.11933763  1.7425321 ],[0.07258407 0.00099773 0.11624968],[-0.05826542  0.06021602  0.12022614]
25,[-0.00984123  0.07360283  1.        ],[0.39316878 0.27583936 1.6119052 ],[-0.30003223  0.50816137  1.4810141 ],[-0.02725747  0.12429325  1.7434978 ],[0.07308972 0.00509648 0.11809826],[-0.05902417  0.06346384  0.12187028]
26,[-0.01073907  0.07743975  1.        ],[0.3908269  0.28071335 1.6114874 ],[-0.2946153  0.5051705  1.4817605],[-0.03039977  0.1277814   1.7439688 ],[0.07015437 0.00525041 0.1181469 ],[-0.05824275  0.06634458  0.12141126]
27,[-0.0114295   0.08109978  1.        ],[0.3821106  0.27125266 1.612152  ],[-0.2834714   0.51339746  1.485499  ],[-0.03267584  0.13055411  1.7436967 ],[0.07276949 0.00707701 0.11873007],[-0.05851775  0.0681701   0.12110078]
28,[-0.01190928  0.08459409  1.        ],[0.3819664 0.2763557 1.6113063],[-0.27862078  0.5230457   1.4853688 ],[-0.03489256  0.13355203  1.7437897 ],[0.07155655 0.00928076 0.11812019],[-0.05957818  0.06979557  0.12055683]
29,[-0.01217518  0.08793385  1.        ],[0.38254094 0.28463912 1.6061027 ],[-0.27221662  0.5188782   1.4878521 ],[-0.03412957  0.13850392  1.743021  ],[0.07831736 0.00901748 0.12128663],[-0.05736716  0.07036044  0.12235749]
30,[-0.01222396  0.09113023  1.        ],[0.38412663 0.3056577  1.5933361 ],[-0.27079752  0.51872057  1.489842  ],[-0.03395984  0.14062938  1.7447845 ],[0.07808831 0.01376638 0.11860919],[-0.05790214  0.07426533  0.11992514]
31,[-0.01205239  0.09419437  1.        ],[0.3908096 0.3091587 1.5903261],[-0.2703176  0.5369022  1.4793599],[-0.03332628  0.14491214  1.74474   ],[0.07617367 0.01253178 0.11320144],[-0.05569139  0.07919266  0.11782271]
32,[-0.01165723  0.09713747  1.        ],[0.3829134  0.30480623 1.5835134 ],[-0.26726842  0.54026425  1.4779421 ],[-0.03331512  0.14259793  1.7424073 ],[0.08065093 0.01589061 0.11364639],[-0.04929437  0.0855508   0.11823094]
33,[-0.01103524  0.09997065  1.        ],[0.38031605 0.3046749  1.5826523 ],[-0.26487502  0.54833776  1.4704638 ],[-0.0353314   0.14474924  1.7410903 ],[0.08339661 0.02237274 0.11701173],[-0.04484518  0.08889343  0.12033224]
34,[-0.01018319  0.10270511  1.        ],[0.38180292 0.3068236  1.5834236 ],[-0.26456386  0.56512344  1.4636095 ],[-0.03796569  0.15170127  1.740869  ],[0.08951586 0.02897631 0.11607867],[-0.043045    0.09194576  0.12139046]
